Ingredient,Label,Usage_Count,Mean_Rank,Std_Rank,Median_Rank,Mean_Price,Dry_Rate,Oily_Rate,Normal_Rate,Combination_Rate,Brand_Count
polysorbate,Moisturizer,70,4.248571428571428,0.25352177801022513,4.3,68.47142857142858,0.6285714285714286,0.6,0.6857142857142857,0.6428571428571429,33
hydroxyethyl acrylate sodium acryloyldimethyl taurate copolymer,Moisturizer,16,4.262499999999999,0.23057898140695018,4.3,69.6875,0.625,0.5,0.625,0.5625,13
xanthan gum,Moisturizer,84,4.303571428571429,0.2543342021882898,4.3,73.23809523809524,0.6904761904761905,0.6190476190476191,0.7380952380952381,0.6904761904761905,37
hexanediol,Moisturizer,33,4.33030303030303,0.2506053277626601,4.3,53.878787878787875,0.8787878787878788,0.7575757575757576,0.9393939393939394,0.8787878787878788,15
caprylyl glycol,Moisturizer,101,4.2772277227722775,0.24814559763123423,4.3,60.26732673267327,0.6534653465346535,0.6732673267326733,0.7227722772277227,0.7227722772277227,33
chlorphenesin,Moisturizer,36,4.216666666666666,0.2489979919597747,4.3,61.416666666666664,0.6666666666666666,0.6944444444444444,0.7222222222222222,0.7777777777777778,16
phenoxyethanol,Moisturizer,180,4.230555555555555,0.5227876741121583,4.3,68.32777777777778,0.6444444444444445,0.6222222222222222,0.6888888888888889,0.7,48
tocopherol,Moisturizer,95,4.293684210526316,0.28012555175856474,4.3,70.8,0.6526315789473685,0.5684210526315789,0.7052631578947368,0.6526315789473685,34
glyceryl caprylate,Moisturizer,12,4.258333333333334,0.3175426480542943,4.25,48.833333333333336,0.75,0.75,0.8333333333333334,0.8333333333333334,12
cyclopentasiloxane,Moisturizer,51,4.174509803921569,0.6470991074804237,4.3,69.05882352941177,0.6862745098039216,0.6470588235294118,0.803921568627451,0.8235294117647058,25
phenyl trimethicone,Moisturizer,18,4.138888888888889,0.27469531546764553,4.15,84.16666666666667,0.8333333333333334,0.7222222222222222,0.8333333333333334,0.7777777777777778,10
hydrogenated vegetable oil,Moisturizer,7,4.2,0.31622776601683816,4.1,114.28571428571429,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,5
cholesterol,Moisturizer,27,4.107407407407407,0.8844493836566976,4.2,72.0,0.7037037037037037,0.6296296296296297,0.7037037037037037,0.7407407407407407,14
butyrospermum parkii,Moisturizer,9,4.266666666666667,0.41833001326703784,4.4,90.88888888888889,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,7
steareth,Moisturizer,29,4.113793103448275,0.30673876499513225,4.1,75.93103448275862,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7586206896551724,11
dimethicone,Moisturizer,132,4.248484848484848,0.45524674099715035,4.3,70.67424242424242,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6439393939393939,40
glyceryl stearate se,Moisturizer,23,4.178260869565217,0.33297081736601375,4.2,100.30434782608695,0.6521739130434783,0.4782608695652174,0.6521739130434783,0.5652173913043478,11
